,Reviews
12406,"
Fit great. Love the colors. Very happy with my purchase. I’m waiting on another pair that are grey/white/black. Very excited to start wearing these around.
"
12407,"
Good
"
12408,"
Update: I exchanged these for a size larger and they are still a little tight.These look nice but run very small and narrow. I wear an 8.5 and had to send these back for a 9.5 and they are still a little tight.
"
12409,"
I wore these for one day and probably never will again.  They crush my toes too tightly on my right foot,  and hurt my toes. I give two stars because they're beautiful shoes, but they're headed for a yard sale or to Goodwill.  I feel so ripped off with these shoes.
"
12410,"
My husband m loved these shoes! He’s a nurse and works 12 hr shifts and says his feet feel great after wearing them all day.
"
12411,"
I didn't get this to workout or run in. Just to look good.
"
12412,"
Shoes looks great. Comfortable and the size perfect but after walking with it for an hour, it gets uncomfortable (I tried better shoes that is comfortable). Overall it is worth the purchase.
"
12413,"
Made a little small. Got my husband a size 11 which is his normal shoe size. But he could have used an 11.5 or 12. Nice looking shoes though.
"
12414,"
I bought these for my husband and he loved them.  The colors pop and feels great when he walks.
"
12415,"
First time wearing them, terrible blisters.  I even had socks on.
"
12416,"
Nice sneakers but run a full size small , sold first pair to a friend , bought another pair one size bigger
"
12417,"
I like it but small that all
"
12418,"
Waited 4 weeks for a product after exchange. costing almost 100 bucks, bad choice to transport product from point A to point B and no help from seller. Mail is faster. 2 night shipping is cheap come on now.
"
12419,"
Very comfortable shoes. Fit well. This particular pair does not breath to well. The other pair (pumas) breath fine, but these are different so my feet will warm up even with thin Sox on. It does not cause discomfort, but it is noticeable. Great during the winter, not so good for the summer
"
12420,"
A very nice product. Love these shoes - so comfortable to wear. The seller met every expectation for on-time delivery. Great experience overall.
"
12421,"
I’ve always loved Puma. Great sneakers. For men (US), buy one size larger than normal for adequate tow room.
"
12422,"
They look like bowling shoes in person.  And way too tight.  Get a size bigger than normal and go hang at the bowling alley.
"
12423,"
Does cinch up tight to the foot.Seems like I wants to slip off.Never felt this before from any brand. Own 26 pair of shoes. All makes. Strange.
"
12424,"
Ok
"
12425,"
I have had these for about 2 months so far they are great and easy to clean up.
"
12426,"
Finally a pair of Puma shoes that actually fit correctly. I went through 4 different that were either to small or to large. I love the colors and look of this shoe.
"
12427,"
I love the product, a little tight but after first use it change to a perfect fit, the only thing I didn't like was that to be able to exchange the first pair I had to drive too far. Would actually make me think if to buy again so I wouldn't have to go through the experience of exchange.
"
12428,"
Excelente
"
12429,"
Not very comfortable. Seems cheap for puma.
"
12430,"
The shoe wasn't sized correctly.  Ive been wearing a12 in pumas for 20 years. These pumas are a 12 but fit like 11.5 disappointing
"
12431,"
I tried to wear these for a couple months, and finally just gave up. They are WAY too stiff, and never really broke in. Feet were constantly in pain after walking in them, but I kept trying hoping they would loosen. Never happened. They still look almost brand new, sitting on the shoe rack, probably never to worn again. Lame.Added a star for materials quality, which I've found with Puma to be usually high, and these were no different.
"
12432,"
This was a Christmas/End of year gift for my boyfriend. He just loved it and wear it right away at office  where I sent them, to show off to his coworkers 😅☺️. They were true to size and very comfortable and well-cushioned, also look nice and stylish for a casual outfit.
"
12433,"
Greta looking pair of shows. Felt extremely comfortable on. The shoe was just to narrow. Wish they offered it in a wide size.
"
12434,"
This Is my second pair. I wear them to work every day. I work outside and I am on my feet all day. Good look and very comfortable. Would buy it again..
"
12435,"
☹️
"
12436,"
I like the white, grey, and black combination of colors of this shoe.  I have several pairs of Puma's that are similar to this style.  It fits nicely, has a soft inter cushion, and a nice tread.  The shoes are very comfortable and look good with jeans or casual slacks.
"
12437,"
Puma is definitely flying under the radar with it's unique trend setting designs and classic fit to athletic apparel.
"
12438,"
Me encantó es cómodo y la combinación de colores es hermosa
"
12439,"
Not good
"
12440,"
Shoes were very tight. Hard to return something once you've unpacked and worn them for a while. Fortunately I was able to give them to my 12 yr old son, but I don't know how on-line is going to work if you can't rely on sizes to be consistent.
"
12441,"
I think these definitely run a little smaller than your regular size shoes; I would definitely order at least a half size up. These are snug, but super comfortable otherwise. I will definitely order them again, a half size larger. Plus they just look so darn cool!
"
12442,"
I like Puma but it feels like the fitting of shoes are more for narrow feet. I'm female and bought a size 7 men's size and it's quite snug. Or needs some breaking in. I just got it today so can't really say much yet. I mainly bought this pair for work. Not a big fan of synthetic leather but it's required for work. This shoes feels like plastic to me. And it does make a fold crease as stated by other buyer. Will update in a week or 2.
"
12443,"
Fit a little tighter around the toes than usual for these shoes and I've owned several pairs. Still a great looking shoe.
"
